,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
826,33.7973,-118.2858,0,4,0,24,0.0
827,33.9323,-118.0558,0,4,0,24,0.0
837,33.8633,-118.4338,6,2,0,24,0.0
838,33.8313,-118.1318,2,2,0,25,0.0
842,33.7913,-118.2158,7,3,0,25,0.0
853,33.8523,-118.4268,8,1,0,24,0.0
886,33.8733,-118.4548,3,2,0,25,0.0
891,33.8313,-118.1318,7,3,0,25,1.0
900,33.8393,-118.1048,1,4,0,26,0.0
914,33.7873,-118.2818,0,3,0,25,0.0
915,33.7993,-118.1848,11,4,0,25,0.0
934,33.7743,-118.2858,9,3,0,27,0.0
943,34.0443,-118.5098,4,1,0,24,1.0
944,33.7803,-118.2928,0,1,0,26,0.0
966,33.7973,-118.3788,0,4,0,26,0.0
1009,33.8523,-118.0978,3,4,0,25,1.0
1027,33.7323,-118.2588,8,3,0,31,0.0
1060,34.0313,-118.0288,4,3,0,24,0.0
1069,33.7403,-118.2478,0,1,0,30,1.0
1073,33.3483,-118.1638,0,2,0,70,0.0
1105,33.8673,-118.0898,0,3,0,25,0.0
1107,33.7803,-118.2818,5,4,0,26,1.0
1112,33.8253,-118.4108,3,5,0,26,0.0
1120,33.7763,-118.2858,4,2,0,26,1.0
1129,33.8673,-118.0788,4,4,0,26,0.0
1162,33.7553,-118.2688,3,3,0,28,0.0
1174,34.0403,-118.0328,0,4,0,23,0.0
1202,33.7913,-118.2628,1,2,0,25,1.0
1205,33.8963,-118.0688,6,3,0,24,1.0
1216,33.8203,-118.4188,0,4,0,26,0.0
1217,33.7913,-118.1908,0,4,0,26,0.0
1218,33.6523,-118.0818,0,4,0,43,0.0
1221,33.6603,-118.3138,0,1,0,38,0.0
1231,33.7933,-118.2588,7,4,0,25,0.0
1238,33.8143,-118.1278,3,1,0,27,0.0
1266,33.7933,-118.2948,0,4,0,25,1.0
1285,33.7973,-118.3538,4,3,0,26,0.0
1300,33.7913,-118.3238,4,4,0,25,0.0
1337,33.8313,-118.1168,3,2,0,26,0.0
1341,33.8963,-118.0578,10,3,0,25,1.0
1356,33.7703,-118.3638,1,4,0,28,0.0
1366,33.9743,-118.4988,1,2,0,23,0.0
1369,33.8103,-118.1718,0,2,0,25,1.0
1391,33.7893,-118.2778,9,4,0,25,0.0
1435,33.7913,-118.1758,4,1,0,26,0.0
1436,33.7743,-118.3468,2,1,0,28,0.0
1479,33.7703,-118.2558,9,2,0,27,0.0
1492,34.0373,-118.0288,11,4,0,24,0.0
1498,33.7913,-118.1968,5,1,0,26,1.0
1509,33.8523,-118.1008,3,3,0,25,0.0
1530,33.8293,-118.1408,0,3,0,25,1.0
1539,33.8203,-118.3678,11,2,0,24,0.0
1550,33.8033,-118.2478,0,3,0,24,1.0
1551,33.8143,-118.4038,10,4,0,26,0.0
1599,33.8523,-118.0938,0,2,0,26,1.0
1605,33.4563,-118.4148,0,3,0,60,0.0
1639,33.9003,-118.0688,8,4,0,24,0.0
1653,33.8413,-118.4268,5,3,0,25,1.0
1656,33.8463,-118.4148,0,3,0,24,0.0
1660,33.8863,-118.4628,1,4,0,24,0.0
1682,33.8943,-118.0518,0,1,0,26,1.0
1687,33.8443,-118.4208,1,2,0,25,1.0
1690,33.7993,-118.3068,0,3,0,24,1.0
1697,33.9033,-118.0498,5,1,0,26,0.0
1707,33.8963,-118.4648,6,4,0,24,1.0
1716,33.7933,-118.2078,4,2,0,25,0.0
1735,33.8293,-118.1088,0,2,0,26,0.0
1750,33.7823,-118.2708,0,2,0,26,1.0
1757,33.7873,-118.2708,0,3,0,25,0.0
1758,33.7873,-118.2798,0,3,0,25,1.0
1760,33.8253,-118.1378,10,4,0,25,1.0
1770,33.7993,-118.2968,6,2,0,24,0.0
1772,33.8163,-118.4528,4,2,0,29,0.0
1776,33.8223,-118.3748,10,3,0,24,0.0
1777,33.9623,-118.0348,6,3,0,24,0.0
1794,33.8603,-118.0898,0,2,0,25,1.0
1801,33.9743,-118.5118,0,1,0,25,0.0
1819,33.7913,-118.2628,5,4,0,25,0.0
1834,33.8293,-118.4228,0,2,0,26,0.0
1857,33.6713,-118.2628,0,2,0,37,0.0
1865,33.8033,-118.2058,0,3,0,24,0.0
1866,33.8253,-118.4108,1,4,0,26,0.0
1876,33.8273,-118.1338,0,2,0,25,0.0
1900,33.8013,-118.2098,5,1,0,25,1.0
1943,33.8033,-118.2538,6,4,0,24,0.0
1944,33.8863,-118.0688,2,4,0,25,0.0
1945,33.8143,-118.4608,0,4,0,29,0.0
1955,33.8033,-118.4038,11,3,0,27,0.0
1963,33.8223,-118.1318,1,4,0,26,0.0
1987,33.8253,-118.1338,3,4,0,25,0.0
1988,33.7973,-118.2878,2,4,0,24,1.0
1989,33.8463,-118.4268,2,4,0,25,1.0
1990,33.8083,-118.1828,1,4,0,25,0.0
1991,33.8083,-118.1698,0,4,0,25,1.0
1992,33.7803,-118.3578,0,4,0,27,0.0
1993,33.6883,-118.0858,0,4,0,40,0.0
1999,33.7893,-118.2838,5,1,0,25,1.0
2016,34.0163,-118.0368,0,4,0,23,0.0
2017,33.9093,-118.0668,0,4,0,24,1.0
2024,33.7913,-118.3448,1,1,0,26,0.0
2026,33.7513,-118.3178,0,1,0,29,0.0
2070,33.8503,-118.4398,0,3,0,25,0.0
2097,33.9093,-118.4838,0,1,0,25,0.0
2120,33.8583,-118.1108,0,2,0,24,1.0
2166,34.0313,-118.0478,3,2,0,22,0.0
2181,33.8543,-118.4248,0,5,0,24,0.0
2197,33.7893,-118.2058,8,2,0,26,1.0
2204,33.8813,-118.0788,0,2,0,25,1.0
2209,33.8713,-118.4648,5,3,0,26,0.0
2212,33.8253,-118.1008,1,3,0,27,1.0
2227,33.8413,-118.1278,0,2,0,24,0.0
2245,33.7853,-118.3238,0,4,0,26,0.0
2266,33.8373,-118.4078,5,4,0,24,1.0
2274,33.8183,-118.1198,0,1,0,27,0.0
2278,33.8083,-118.3808,5,3,0,26,0.0
2308,33.7893,-118.3278,0,3,0,26,0.0
2310,33.7423,-118.3388,0,4,0,30,0.0
2363,34.0163,-118.0348,0,2,0,23,0.0
2394,33.7153,-118.2878,0,1,0,32,0.0
2408,33.8293,-118.1508,5,1,0,24,0.0
2423,33.8013,-118.2588,0,3,0,24,0.0
2441,33.8253,-118.4398,5,3,0,27,1.0
2452,33.7873,-118.3678,0,4,0,27,0.0
2459,33.7803,-118.3328,7,2,0,27,0.0
2497,33.7173,-118.0818,0,1,0,37,0.0
2522,33.8083,-118.3068,4,3,0,23,0.0
2523,33.4833,-118.2098,0,3,0,56,0.0
2527,33.9303,-118.0518,7,4,0,24,0.0
2548,33.8313,-118.1258,0,3,0,25,1.0
2551,33.7803,-118.2538,5,4,0,26,0.0
2580,33.7853,-118.2518,2,4,0,25,0.0
2583,33.8203,-118.3978,9,1,0,25,0.0
2584,33.7763,-118.1738,6,1,0,28,0.0
2596,33.9873,-118.0478,9,4,0,22,0.0
2608,33.8603,-118.4378,3,2,0,24,1.0
2629,33.8583,-118.4548,5,2,0,26,0.0
2642,33.7913,-118.1468,3,4,0,28,0.0
2686,33.8373,-118.0958,0,4,0,27,0.0
2687,33.8393,-118.1258,10,1,0,25,0.0
2696,33.6123,-118.2498,0,2,0,43,1.0
2705,34.0403,-118.5138,0,4,0,24,0.0
2719,33.7803,-118.2738,3,4,0,26,0.0
2736,33.8083,-118.1758,1,3,0,25,0.0
2774,33.7873,-118.3118,4,4,0,26,1.0
2776,33.7913,-118.2818,2,4,0,25,1.0
2784,33.7783,-118.2738,1,3,0,26,1.0
2806,33.8943,-118.4718,3,4,0,25,0.0
2856,33.7493,-118.0788,0,3,0,35,0.0
2864,33.8223,-118.1448,6,1,0,25,1.0
2868,33.7763,-118.2928,11,2,0,26,0.0
2887,33.8603,-118.0918,6,3,0,25,0.0
2914,33.8253,-118.0958,0,3,0,27,0.0
2979,33.7853,-118.2158,9,4,0,26,0.0
2989,33.8353,-118.1278,4,1,0,25,0.0
3009,33.8713,-118.4908,3,4,0,28,0.0
3055,33.7913,-118.3708,8,4,0,27,0.0
3060,33.9193,-118.4818,0,1,0,24,0.0
3073,33.8883,-118.4548,1,6,0,24,0.0
3074,33.8463,-118.1108,5,1,0,25,0.0
3085,34.0443,-118.0478,2,3,0,22,1.0
3086,33.8123,-118.4038,1,3,0,26,0.0
3091,33.9193,-118.0598,9,1,0,24,0.0
3092,33.8223,-118.4108,7,1,0,26,0.0
3133,33.8553,-118.1028,1,4,0,25,0.0
3135,33.9013,-118.4918,0,4,0,26,1.0
3139,33.8023,-118.2208,3,1,0,24,1.0
3143,33.8633,-118.1068,9,2,0,24,0.0
3146,33.8943,-118.0748,3,2,0,24,1.0
3147,33.8713,-118.4418,0,2,0,24,0.0
3150,33.8173,-118.1498,1,3,0,25,1.0
3151,33.8913,-118.4838,0,3,0,26,0.0
3152,33.8523,-118.4688,0,3,0,27,0.0
3159,33.7943,-118.3688,3,2,0,26,0.0
3172,33.8583,-118.4388,2,1,0,25,1.0
3178,33.9803,-118.0368,3,3,0,24,0.0
3181,33.7843,-118.2908,6,4,0,26,1.0
3183,33.7863,-118.1718,4,4,0,27,0.0
3185,33.7973,-118.2308,1,4,0,25,0.0
3189,33.8153,-118.4208,2,5,0,27,0.0
3193,34.0553,-118.0378,8,1,0,23,1.0
3209,33.8303,-118.3958,0,1,0,24,0.0
3211,33.4953,-118.2058,0,1,0,55,0.0
3218,33.6863,-118.1188,0,2,0,38,0.0
3223,33.8153,-118.1388,8,3,0,26,0.0
3230,33.7873,-118.2758,0,3,0,25,0.0
3235,33.8153,-118.4378,7,4,0,28,0.0
3240,33.7893,-118.2538,3,4,0,25,0.0
3250,33.8483,-118.4278,0,5,0,25,0.0
3290,33.8153,-118.1498,0,3,0,25,0.0
3304,33.8713,-118.0448,0,1,0,28,0.0
3320,33.9273,-118.0348,0,3,0,26,0.0
3368,34.0493,-118.0418,1,4,0,22,1.0
3390,33.9223,-118.4798,2,3,0,24,0.0
3412,33.8503,-118.1138,3,4,0,24,0.0
3415,33.8703,-118.4488,0,4,0,24,0.0
3417,33.7813,-118.3358,8,1,0,27,0.0
3420,33.8843,-118.0808,9,2,0,24,0.0
3428,33.8303,-118.4238,0,3,0,26,1.0
3432,33.8383,-118.4308,7,1,0,26,0.0
3438,33.8503,-118.4588,10,3,0,27,0.0
3443,34.0603,-118.0348,2,4,0,23,0.0
3447,33.8573,-118.4358,6,1,0,25,1.0
3449,33.8503,-118.0938,6,3,0,26,0.0
3453,33.8153,-118.1828,11,4,0,24,0.0
3458,33.8353,-118.1348,1,4,0,24,0.0
3499,34.0553,-118.0428,0,1,0,22,1.0
3506,33.6483,-118.4438,0,2,0,43,0.0
3515,33.8523,-118.4408,9,4,0,25,0.0
3516,33.9833,-118.4948,8,4,0,23,1.0
3538,33.8223,-118.1648,1,4,0,24,0.0
3540,33.8013,-118.1468,0,4,0,27,0.0
3550,33.8943,-118.0648,6,3,0,25,1.0
3553,33.5433,-118.3878,0,3,0,51,0.0
3566,33.8193,-118.1778,6,3,0,24,0.0
3570,34.0473,-118.0468,0,4,0,22,0.0
3571,33.8523,-118.0678,8,1,0,27,0.0
3585,33.8013,-118.1898,4,4,0,25,1.0
3605,34.0633,-118.5078,2,4,0,23,0.0
3618,33.8633,-118.1038,3,4,0,24,1.0
3690,34.0443,-118.0428,5,4,0,22,0.0
3713,33.8433,-118.0908,0,3,0,26,1.0
3715,33.3933,-118.4768,0,3,0,68,0.0
3721,33.8013,-118.1808,5,4,0,25,0.0
3725,33.7833,-118.1808,0,4,0,27,0.0
3727,34.0473,-118.5108,0,5,0,24,1.0
3735,33.8553,-118.1088,4,1,0,24,1.0
3742,33.8353,-118.4208,0,2,0,25,1.0
3770,33.8963,-118.4788,10,4,0,25,0.0
3775,33.7923,-118.2758,4,4,0,25,1.0
3792,33.6483,-118.2518,0,2,0,39,0.0
3797,33.8663,-118.0938,5,3,0,25,0.0
3801,33.8943,-118.0758,0,3,0,24,1.0
3809,33.7963,-118.0698,0,1,0,31,0.0
3824,33.6743,-118.3928,0,1,0,38,0.0
3826,33.8503,-118.1158,10,2,0,24,0.0
3830,33.7913,-118.2568,0,2,0,25,0.0
3837,33.8753,-118.4408,1,3,0,24,0.0
3839,33.6483,-118.1418,0,3,0,41,0.0
3843,33.7923,-118.3138,2,4,0,25,0.0
3849,33.8043,-118.3418,0,4,0,25,0.0
3850,33.8243,-118.1548,0,4,0,24,0.0
3855,33.8023,-118.3488,8,1,0,25,0.0
3868,33.9993,-118.5068,4,3,0,24,0.0
3874,33.8503,-118.4468,9,4,0,26,1.0
3878,33.8223,-118.4188,6,4,0,26,0.0
3879,33.8753,-118.0728,1,4,0,25,0.0
3886,33.7053,-118.0888,0,1,0,38,0.0
3888,33.8023,-118.3218,5,2,0,24,1.0
3890,33.8143,-118.1448,3,2,0,26,1.0
3891,33.8173,-118.1518,2,2,0,25,1.0
3892,33.7993,-118.3688,2,2,0,26,1.0
3893,33.8373,-118.1338,0,2,0,24,1.0
3895,33.8323,-118.4008,9,3,0,24,1.0
3896,33.8303,-118.3958,7,3,0,24,1.0
3897,33.8113,-118.3688,6,3,0,25,1.0
3898,34.0473,-118.5018,5,3,0,23,0.0
3900,33.8273,-118.1488,3,3,0,24,1.0
3901,33.8013,-118.1808,2,3,0,25,1.0
3904,33.7993,-118.1948,7,4,0,25,0.0
3909,33.8883,-118.0728,5,1,0,25,0.0
3913,34.0533,-118.0428,4,2,0,22,0.0
3931,33.8553,-118.4408,7,3,0,25,0.0
3932,33.8303,-118.1498,7,3,0,24,0.0
3950,33.8073,-118.3058,10,2,0,23,1.0
3951,34.0413,-118.0448,9,2,0,22,0.0
3953,33.9833,-118.0338,1,2,0,24,1.0
3969,33.8653,-118.4458,11,1,0,25,1.0
3970,33.8383,-118.4098,10,1,0,24,1.0
3971,33.7943,-118.2138,6,1,0,25,0.0
3972,33.8403,-118.4418,0,1,0,26,0.0
3980,33.7973,-118.2598,0,2,0,24,0.0
3989,33.8123,-118.3898,0,5,0,26,0.0
3996,33.8153,-118.1778,3,2,0,24,1.0
4005,34.0143,-118.5028,5,4,0,23,0.0
4012,33.8043,-118.3408,4,1,0,25,1.0
4015,33.8583,-118.4418,1,1,0,25,0.0
4017,33.8013,-118.2668,1,2,0,24,1.0
4023,33.8173,-118.1498,0,4,0,25,1.0
4024,33.8063,-118.1618,0,4,0,26,0.0
4031,33.8273,-118.1388,0,2,0,25,1.0
4064,34.0363,-118.0468,4,4,0,22,0.0
4071,33.9033,-118.4668,4,1,0,24,1.0
4077,33.5773,-118.3388,0,1,0,47,0.0
4088,33.8713,-118.4588,3,3,0,25,1.0
4092,33.8753,-118.0708,10,4,0,26,0.0
4113,33.7043,-118.1038,0,3,0,37,1.0
4117,33.8603,-118.4328,9,4,0,24,1.0
4119,33.8533,-118.4508,6,4,0,26,0.0
4125,33.8243,-118.3958,10,1,0,25,0.0
4132,33.8153,-118.3638,0,1,0,24,0.0
4134,33.8603,-118.4418,10,2,0,25,1.0
4148,33.9903,-118.5028,5,4,0,23,0.0
4151,33.8653,-118.1038,1,4,0,24,0.0
4171,33.8013,-118.2188,4,3,0,24,1.0
4174,33.8353,-118.4278,1,3,0,26,1.0
4182,33.8043,-118.1778,9,1,0,25,0.0
4193,33.7923,-118.2438,7,3,0,25,0.0
4199,33.7993,-118.1848,0,3,0,25,1.0
4211,33.8223,-118.1058,6,2,0,27,1.0
4213,33.8703,-118.0988,4,2,0,24,1.0
4216,33.7913,-118.2688,1,2,0,25,0.0
4223,33.8683,-118.0808,5,3,0,25,0.0
4226,34.0413,-118.0378,2,3,0,23,0.0
4232,33.8203,-118.1568,6,1,0,25,1.0
4254,33.8843,-118.4608,2,3,0,24,0.0
4280,33.8193,-118.1188,3,2,0,27,0.0
4283,33.8113,-118.3998,0,2,0,26,1.0
4296,34.0343,-118.4968,2,4,0,22,1.0
4297,33.9173,-118.0428,2,4,0,26,1.0
4299,33.7973,-118.2368,0,4,0,24,0.0
4310,33.8703,-118.4418,9,2,0,24,1.0
4311,33.8783,-118.4508,8,2,0,24,0.0
4322,33.8573,-118.4408,10,4,0,25,0.0
4325,33.8203,-118.3898,3,4,0,25,1.0
4330,33.8223,-118.1598,0,4,0,24,0.0
4337,33.7943,-118.2878,0,6,0,25,0.0
4338,33.8403,-118.4048,10,1,0,24,1.0
4342,33.8403,-118.4078,6,1,0,24,1.0
4357,33.8433,-118.1238,3,3,0,24,1.0
4359,33.7893,-118.2828,0,3,0,25,0.0
4360,33.7873,-118.2958,6,4,0,25,0.0
4367,33.8843,-118.4608,11,1,0,24,1.0
4378,33.4183,-118.1268,0,1,0,64,0.0
4381,33.8093,-118.3438,4,2,0,24,0.0
4394,33.9623,-118.0378,4,4,0,24,0.0
4395,33.8503,-118.1108,3,4,0,25,1.0
4396,33.8143,-118.1898,2,4,0,24,0.0
4399,33.8293,-118.4098,11,1,0,25,0.0
4402,33.9353,-118.0428,8,1,0,25,0.0
4418,33.8013,-118.1798,5,3,0,25,0.0
4422,33.7863,-118.2028,1,3,0,26,0.0
4424,33.7873,-118.3358,0,3,0,26,0.0
4440,33.7913,-118.2688,6,2,0,25,0.0
4444,33.8533,-118.4278,2,2,0,24,0.0
4446,33.8173,-118.3668,10,3,0,24,1.0
4452,33.7993,-118.3338,9,4,0,25,0.0
4454,33.9803,-118.4998,5,4,0,23,0.0
4467,33.7743,-118.2648,4,2,0,27,0.0
4485,33.8043,-118.1648,1,1,0,26,1.0
4486,33.8843,-118.0598,10,2,0,26,0.0
4487,33.8803,-118.4558,9,2,0,24,0.0
4488,33.8723,-118.4618,11,2,0,25,1.0
4489,33.7963,-118.2028,4,2,0,25,0.0
4497,33.7863,-118.2848,8,3,0,25,0.0
4503,33.8993,-118.0578,7,4,0,25,1.0
4504,33.7993,-118.2648,6,4,0,24,1.0
4505,33.8253,-118.0938,6,4,0,28,0.0
4506,33.9063,-118.0518,5,4,0,25,0.0
4507,33.8113,-118.3548,1,4,0,24,0.0
4526,33.8113,-118.1058,0,3,0,28,0.0
4532,33.8063,-118.3718,2,4,0,25,0.0
4538,33.8403,-118.1118,1,1,0,25,1.0
4549,33.8143,-118.3648,0,3,0,24,1.0
4553,33.7893,-118.2308,8,4,0,25,0.0
4561,33.7663,-118.2598,1,1,0,27,0.0
4587,33.9373,-118.0478,4,2,0,24,1.0
4589,33.8473,-118.0978,2,2,0,26,0.0
4596,33.8633,-118.4458,0,3,0,25,0.0
4602,33.8613,-118.0988,1,4,0,25,0.0
4604,33.8123,-118.3798,9,1,0,25,1.0
4607,33.7943,-118.1718,8,1,0,26,1.0
4637,33.8533,-118.4618,0,1,0,27,0.0
4644,33.7923,-118.2858,5,3,0,25,1.0
4656,33.8913,-118.4748,0,2,0,25,0.0
4663,33.9303,-118.0348,11,4,0,26,0.0
4672,33.7763,-118.2928,11,3,0,26,0.0
4688,33.8353,-118.4278,1,1,0,26,0.0
4693,34.0343,-118.0348,10,3,0,23,0.0
4706,33.8423,-118.4108,8,4,0,24,1.0
4709,33.7913,-118.1698,0,4,0,27,0.0
4710,33.7973,-118.3128,0,4,0,25,0.0
4711,33.8203,-118.1388,11,1,0,25,0.0
4715,33.7913,-118.3308,10,2,0,26,0.0
4728,33.7273,-118.0728,10,2,0,37,0.0
4743,34.0363,-118.0378,6,4,0,23,1.0
4749,33.8173,-118.1678,1,4,0,24,0.0
4750,34.0013,-118.4968,0,4,0,23,0.0
4753,33.7783,-118.2748,8,1,0,26,1.0
4758,33.6333,-118.3008,0,1,0,41,0.0
4769,33.8293,-118.4028,7,4,0,25,1.0
4771,33.8943,-118.0608,5,4,0,25,1.0
4772,33.9043,-118.0678,4,4,0,24,0.0
4779,33.8173,-118.1548,4,2,0,25,0.0
4797,33.8043,-118.1758,6,1,0,25,1.0
4799,33.8453,-118.1068,2,1,0,25,1.0
4801,33.7923,-118.3728,0,1,0,27,0.0
4805,33.8193,-118.1348,11,2,0,26,1.0
4806,34.0033,-118.5048,10,2,0,23,1.0
4807,33.8353,-118.4278,9,2,0,26,1.0
4808,33.8293,-118.3958,5,2,0,24,1.0
4809,33.8093,-118.1368,5,2,0,27,1.0
4811,33.8473,-118.0928,4,2,0,26,0.0
4813,33.8143,-118.1298,1,2,0,26,0.0
4815,33.7993,-118.1568,6,3,0,26,1.0
4816,33.8573,-118.4638,4,3,0,26,0.0
4825,33.7943,-118.2128,0,1,0,25,1.0
4827,33.9093,-118.0498,9,2,0,25,0.0
4830,33.9443,-118.0348,10,3,0,25,1.0
4831,33.8303,-118.4148,9,3,0,25,1.0
4834,33.8613,-118.0598,0,3,0,27,0.0
4836,33.9803,-118.0368,9,4,0,24,0.0
4837,33.8063,-118.3588,6,1,0,25,1.0
4838,33.8423,-118.1088,3,1,0,25,1.0
4839,33.8323,-118.1338,2,1,0,25,0.0
4847,33.8613,-118.4388,0,2,0,24,0.0
4864,33.4953,-118.3638,0,1,0,55,0.0
4873,33.8653,-118.4558,0,3,0,25,0.0
4881,33.8843,-118.0758,10,1,0,25,1.0
4883,33.8803,-118.0808,5,1,0,25,0.0
4890,33.8013,-118.2598,5,4,0,24,1.0
4892,33.9583,-118.4918,2,4,0,23,0.0
4899,33.7793,-118.2698,6,1,0,26,1.0
4900,34.0183,-118.0468,5,1,0,22,0.0
4902,33.8303,-118.1188,0,1,0,26,0.0
4909,33.8553,-118.4648,10,4,0,27,0.0
4912,33.8153,-118.1338,3,4,0,26,0.0
4919,33.8153,-118.1298,1,5,0,26,0.0
4924,33.7993,-118.1808,0,2,0,26,0.0
4925,33.7833,-118.2718,9,3,0,26,1.0
4927,33.8533,-118.4418,5,3,0,25,0.0
4941,33.8533,-118.0958,2,1,0,25,0.0
4944,33.8533,-118.1058,2,2,0,25,0.0
4946,33.8533,-118.4308,11,3,0,24,0.0
4952,33.8123,-118.1528,5,3,0,25,0.0
4984,33.8913,-118.4698,1,4,0,25,1.0
4986,33.9013,-118.4798,0,4,0,25,0.0
